
255	1000
256	850
257	1000
258	930
259	1150
260	1130
261	990
262	1350
263	1240
264	1160
265	990
266	1160
267	1250
268	1140
269	1280
270	1140
271	1600
272	1450
273	1410
274	1320
275	1480
276	1350
277	1660
278	1700
279	1760
280	1790
281	1870
282	1760
283	2390
284	2390
285	2520
286	3000
287	4400
288	5500
289	8000
290	12560
291	21630
292	249160
293	2.11474E6
294	3.06692E6
295	544960
296	32210
297	15860
298	10410
299	7200
300	5280
301	4980
302	4560
303	4400
304	4500
305	4610
306	4890
307	5090
308	5360
309	5700
310	6460
311	7470
312	7120
313	8320
314	8440
315	9160
316	9740
317	10620
318	11910
319	12620
320	14060
321	15150
322	16170
323	17780
324	20060
325	19670
326	21190
327	22720
328	23530
329	24590
330	25270
331	26630
332	27080
333	29460
334	30510
335	29760
336	30070
337	31490
338	31740
339	33720
340	32410
341	35110
342	35090
343	36130
344	37610
345	39140
346	39800
347	41880
348	43040
349	41970
350	44060
351	44420
352	46710
353	47290
354	48740
355	49380
356	51460
357	52660
358	54050
359	54920
360	57610
361	58150
362	59840
363	58470
364	60910
365	61590
366	62180
367	62120
368	61420
369	62500
370	63050
371	63180
372	63250
373	63960
374	64410
375	65010
376	64920
377	64700
378	65920
379	66460
380	67580
381	66660
382	66860
383	65220
384	66210
385	63690
386	64290
387	62630
388	62280
389	60860
390	59900
391	58810
392	57920
393	56810
394	57000
395	55040
396	54630
397	53750
398	52860
399	52110
400	51890
401	50730
402	49860
403	50320
404	45860
405	46600
406	45240
407	44800
408	43420
409	43150
410	44370
411	41730
412	40460
413	40560
414	37950
415	37840
416	36560
417	35620
418	35320
419	34850
420	35320
421	32560
422	33330
423	31530
424	31460
425	30720
426	29650
427	28870
428	29680
429	28920
430	27130
431	27660
432	27440
433	25720
434	26120
435	25060
436	24000
437	24640
438	24340
439	23050
440	22220
441	21620
442	21870
443	21060
444	21070
445	20030
446	20160
447	21060
448	19800
449	19150
450	20520
451	18050
452	18280
453	17830
454	17910
455	17240
456	16000
457	16320
458	16380
459	15610
460	16570
461	15430
462	15380
463	15160
464	14310
465	15730
466	14510
467	13970
468	14700
469	13660
470	13560
471	14050
472	12820
473	13040
474	12050
475	11790
476	11860
477	11950
478	11120
479	11750
480	11370
481	11090
482	10770
483	10510
484	10290
485	9780
486	10550
487	9790
488	9170
489	9750
490	9800
491	9440
492	9420
493	8630
494	8630
495	8480
496	7970
497	8260
498	8520
499	8230
500	7860
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
