255	32010
256	32110
257	31750
258	32390
259	33030
260	33150
261	32950
262	32720
263	32780
264	33410
265	34110
266	33610
267	32880
268	32170
269	33360
270	33630
271	33910
272	34160
273	35610
274	36750
275	36810
276	38110
277	37680
278	39830
279	40060
280	41350
281	44530
282	49170
283	60820
284	51630
285	51110
286	51070
287	54340
288	53570
289	58250
290	61920
291	67440
292	69770
293	76430
294	82580
295	91740
296	99880
297	112830
298	128370
299	142940
300	160080
301	183590
302	210920
303	251180
304	307620
305	390650
306	517620
307	735620
308	1.07414E6
309	1.67685E6
310	2.80405E6
311	8.21335E6
312	1.4913E7
313	531260
314	3.15434E6
315	2.02825E7
316	4.14187E6
317	2.62218E6
318	1.72387E6
319	1.20708E6
320	922020
321	741770
322	619480
323	551940
324	511860
325	476670
326	456280
327	447870
328	452230
329	459390
330	471200
331	482680
332	493980
333	500040
334	505590
335	511150
336	509380
337	513320
338	512410
339	515040
340	516730
341	518380
342	532660
343	545220
344	566240
345	577700
346	582770
347	600880
348	612810
349	619780
350	634360
351	647470
352	650710
353	659120
354	657530
355	657210
356	657050
357	656000
358	657380
359	663140
360	663500
361	654910
362	665490
363	665420
364	667020
365	665410
366	671930
367	669680
368	663990
369	666700
370	667450
371	665030
372	666430
373	657220
374	662480
375	655100
376	645040
377	644440
378	636970
379	633600
380	632870
381	626830
382	620810
383	621300
384	609170
385	595350
386	596970
387	584520
388	576640
389	569870
390	555670
391	546710
392	534790
393	529750
394	521060
395	512300
396	506510
397	496450
398	491360
399	481410
400	476690
401	469340
402	461400
403	457640
404	449900
405	442300
406	437080
407	430500
408	416860
409	417550
410	411830
411	406690
412	395380
413	396310
414	387760
415	384260
416	383180
417	371310
418	370930
419	366090
420	361470
421	355200
422	350420
423	345980
424	339680
425	334420
426	340040
427	341580
428	346110
429	326890
430	319140
431	318710
432	308150
433	307840
434	300490
435	302130
436	298260
437	295890
438	287480
439	285500
440	282840
441	282190
442	272360
443	271940
444	266500
445	266250
446	261160
447	255130
448	253430
449	250560
450	247160
451	243880
452	238030
453	234400
454	231410
455	227580
456	225720
457	224200
458	223310
459	221680
460	218010
461	212600
462	210740
463	210520
464	205730
465	205290
466	202870
467	199400
468	195580
469	187320
470	186040
471	185450
472	181360
473	177640
474	174890
475	170860
476	167290
477	163590
478	164730
479	163620
480	161870
481	156980
482	158040
483	153150
484	149020
485	148120
486	146580
487	144940
488	141840
489	142260
490	141630
491	139010
492	134920
493	132800
494	134530
495	132770
496	126010
497	126790
498	127580
499	127460
500	122200
