255	6160
256	5730
257	5730
258	5770
259	5810
260	5600
261	5260
262	5420
263	5210
264	4750
265	5160
266	5460
267	6140
268	6090
269	5630
270	6460
271	6100
272	5920
273	6790
274	6690
275	7110
276	7770
277	7630
278	8570
279	8170
280	9370
281	9810
282	9600
283	9800
284	10660
285	11220
286	12180
287	13440
288	15150
289	17020
290	17970
291	20920
292	23200
293	25320
294	28170
295	30130
296	33050
297	34000
298	38120
299	40500
300	43060
301	45850
302	50550
303	53890
304	56690
305	57630
306	62800
307	64470
308	68530
309	69570
310	71600
311	74650
312	77580
313	78750
314	80960
315	83230
316	83500
317	85550
318	87800
319	88170
320	89270
321	90270
322	89690
323	91940
324	90710
325	92640
326	95090
327	95490
328	94800
329	94130
330	94060
331	93150
332	95420
333	92950
334	93150
335	91340
336	90790
337	89490
338	89400
339	87430
340	86810
341	85470
342	83360
343	82710
344	82780
345	81190
346	78080
347	78320
348	76210
349	76370
350	73650
351	72660
352	68910
353	67190
354	66190
355	64840
356	65520
357	64200
358	61310
359	59480
360	58140
361	57450
362	56920
363	56510
364	56670
365	53380
366	52370
367	51640
368	51270
369	49070
370	47260
371	47260
372	45120
373	46020
374	45020
375	43820
376	43760
377	43700
378	42870
379	42870
380	41010
381	40400
382	41100
383	39910
384	39070
385	38990
386	38240
387	38550
388	39050
389	38600
390	38690
391	38500
392	37780
393	36630
394	36840
395	35420
396	35230
397	35220
398	34220
399	34770
400	33610
401	33360
402	33120
403	33560
404	33120
405	32370
406	31410
407	30930
408	32180
409	32670
410	33160
411	32470
412	32200
413	32840
414	30210
415	31260
416	30640
417	32500
418	33090
419	30560
420	31560
421	29540
422	30400
423	30570
424	31550
425	30770
426	29880
427	29660
428	30310
429	30090
430	28960
431	29460
432	28190
433	28650
434	29590
435	28570
436	29950
437	28480
438	27350
439	27380
440	27380
441	27140
442	27060
443	26160
444	26330
445	26050
446	27710
447	27370
448	31150
449	27670
450	27210
451	26210
452	24770
453	25120
454	25810
455	26090
456	26720
457	26240
458	26200
459	25970
460	27560
461	27000
462	26380
463	26520
464	27060
465	29690
466	32570
467	31640
468	28710
469	28040
470	25980
471	30080
472	28830
473	25560
474	26250
475	26220
476	27520
477	28150
478	31590
479	33110
480	37460
481	40670
482	45830
483	57060
484	73900
485	100580
486	143680
487	409580
488	2.72246E6
489	9.43079E6
490	1.44983E7
491	1.11645E7
492	3.55324E6
493	565230
494	201110
495	146240
496	114090
497	89600
498	71850
499	61580
500	52920
